poi ville code_postale code_insee region code_departement departement latitude longitude createur_donnée fournisseur id_poi photo categorie_mere sous_categorie
"Sortie raquettes   ""Sur les traces d'animaux"" avec Thomas" 1750 73590 73186 Auvergne-Rhône-Alpes 73 Savoie 45.808568 6.517928 "Office de Tourisme du Val d'Arly" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d01d998d-514b-33f3-a035-4d5c620d1141 True Produit Pratique
"Speedriding aux Arcs - Stage de perfectionnement" 1757 73700 73054 Auvergne-Rhône-Alpes 73 Savoie 45.568994 6.833962 "Les Arcs Bourg Saint Maurice Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0817129-94f2-3913-b1a5-1563640f4360 True Produit Pratique
"Ferme Pédagogique" 3291 43550 43186 Auvergne-Rhône-Alpes 43 Haute-Loire 44.978529 4.144206 "Office de tourisme Mézenc Loire Meygal" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0859b96-e110-3144-a539-9a41cb3265ff True Produit Pratique
"Parcours à vélo à la découverte du territoire" 1872 84810 84004 """Provence-Alpes-Côte dAzur""" 84 Vaucluse 44.098268 5.025027 "Office de tourisme  Ventoux Provence Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d092b70f-4669-3b44-9d9a-18e384170d41 True Produit Pratique
"Epona Club" 1900 78100 78551 Île-de-France 78 Yvelines 48.918 2.1085 "Office de Tourisme Intercommunal de Saint Germain Boucles de Seine" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d09a0842-f97b-3d27-9fa3-360be5ab6c5f True Produit Pratique
"Ski de randonnée" 1637 74740 74273 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.055559 6.77607 "Office de tourisme Grand Massif Montagnes du Giffre" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0c537f6-1b2e-3c4e-a75e-e0fec4773f45 True Produit Pratique
"Cours de Hatha Hoga" 2489 07370 07308 Auvergne-Rhône-Alpes 07 Ardèche 45.191504 4.796519 "Office de Tourisme Porte de DrômArdèche" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0e0c420-bee0-3a71-ba21-bf40d162d5f4 True Produit Pratique
"Visite guidée - L'hôtel de ville et les tours de l'ancien château comtal" 1942 16000 16015 Nouvelle-Aquitaine 16 Charente 45.64869 0.156237 "Office de Tourisme du Pays d'Angoulême" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0e89d47-2a45-343a-990a-b59acc319052 True Produit Visite
"Course d'orientation encadrée avec Azimut 43" 4453 43750 43251 Auvergne-Rhône-Alpes 43 Haute-Loire 45.031831 3.87881 "Office de Tourisme de l'agglomération du Puy-en-Velay" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d0f51021-86ad-3ba5-8e34-79dae12e816d True Produit Pratique
"Cascade de glace avec Yves Gaillard" 1775 26620 26168 Auvergne-Rhône-Alpes 26 Drôme 44.666119 5.70611 "Office de Tourisme du Pays Diois" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d1026ab8-4116-31de-aabd-2af44edda908 True Produit Pratique
"Sorties raquettes en demi journée - Vacances de février" 2369 74230 74280 Auvergne-Rhône-Alpes 74 Haute-Savoie 45.882426 6.324999 "Office de Tourisme de Thônes Cœur des Vallées" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d115c2d7-2adc-32f4-b7ba-23de217e069f True Produit Pratique
"Étangs de Savin" 2606 43150 43135 Auvergne-Rhône-Alpes 43 Haute-Loire 44.943218 3.988359 "Office de tourisme Mézenc Loire Meygal" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d12a94ae-cdd1-3f80-8680-e2d02cf698f8 True Produit Pratique
"Sainte-Cécile sous toutes ses coutures: les costumes de la statuaire du choeur" 1807 81000 81004 Occitanie 81 Tarn 43.928797 2.143587 "Office de Tourisme d'Albi" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d1412c05-78e4-3dad-9a78-bf26ae8a00a1 True Produit Visite
Pilates 1910 43190 43244 Auvergne-Rhône-Alpes 43 Haute-Loire 45.115672 4.289651 "Office de Tourisme du Haut-Lignon" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d183e138-7a51-3e30-a7a7-a1868ee7c963 True Produit Pratique
"Table, éTable et Tablier" 4170 69480 69156 Auvergne-Rhône-Alpes 69 Rhône 45.955436 4.69253 "Office de tourisme du Beaujolais" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d23b000d-e9b7-3927-90c8-c8f3a2d0a654 True Produit Pratique
"Meygalosport - Randonnée pédestre" 2069 43260 43200 Auvergne-Rhône-Alpes 43 Haute-Loire 45.025512 4.065933 "Office de tourisme Mézenc Loire Meygal" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d266e1ab-c248-36f8-8f3c-bdae58677daa True Produit Pratique
"Maison Boinaud" 4060 16130 16012 Nouvelle-Aquitaine 16 Charente 45.615237 -0.310238 "Destination Cognac" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d26be294-b2b8-3487-bb38-a060906885ae True Produit Visite
"L'Île Madame, entre nature et culture" 6819 17730 17484 Nouvelle-Aquitaine 17 Charente-Maritime 45.949152 -1.095449 "Charentes Tourisme /Echappées Nature" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d2a03d06-2083-37c5-ab39-5fefc107e192 True Produit Visite
"Activités d'Auvergn'Attitude" 2632 63150 63246 Auvergne-Rhône-Alpes 63 Puy-de-Dôme 45.602743 2.749838 "Office de Tourisme du Massif du Sancy" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d2eb0d7d-c3aa-3bd5-b4b9-4ac5e0d0c3e1 True Produit Pratique
"Atelier du fil" 1723 26790 26345 Auvergne-Rhône-Alpes 26 Drôme 44.288572 4.841715 "Office de Tourisme Drôme Sud Provence" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d2fcf393-80aa-3240-ab46-28fe8386f7ce True Produit Pratique
"Randonnée VTT avec Sylvain Poncet" 5874 01100 01011 Auvergne-Rhône-Alpes 01 Ain 46.203924 5.65371 "Office de Tourisme du Haut-Bugey" "Office de Tourisme du Haut-Bugey - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d308680e-6d78-3f94-8bf6-531ff560b38a True Produit Pratique
Pilates/Yoga 1757 73700 73054 Auvergne-Rhône-Alpes 73 Savoie 45.594058 6.796495 "Les Arcs Bourg Saint Maurice Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d30deec4-b2b4-3314-b7b9-d74bf6c1f3d9 True Produit Pratique
"Randonnées raquettes accompagnées" 1761 74360 74001 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.280689 6.72044 "Office de Tourisme intercommunal Pays d'Evian Vallée d'Abondance" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d33dbd10-d3eb-30dd-b62f-2828ba555501 True Produit Pratique
"Acro Cabana - Parcours Cabanes et tyrolienne" 2573 26310 26361 Auvergne-Rhône-Alpes 26 Drôme 44.482417 5.604781 "Office de Tourisme du Pays Diois" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d34e1e9e-e820-3fd5-9cd3-0182ed77647e True Produit Pratique
"Qi Gong à Charpey" 1894 26300 26079 Auvergne-Rhône-Alpes 26 Drôme 44.941221 5.08808 "Valence Romans Tourisme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d3b55955-953e-3f4f-871e-30a9718429a2 True Produit Pratique
"Circuit découverte guidé du vieux village" 2286 83310 83042 """Provence-Alpes-Côte dAzur""" 83 Var 43.251616 6.53399 "Communauté de communes du golfe de Saint Tropez" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d3c9a314-7be4-36f0-b500-e12231504c6b True Produit Visite
"Location de Paddle stepper et de Kayak à fond transparent avec Sea Sun" 1602 83250 83071 """Provence-Alpes-Côte dAzur""" 83 Var 43.120561 6.258813 "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu" "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d3eb2964-c074-39a5-9ad4-959a17573e12 True Produit Pratique
"Agay Express Aventure" 2065 83700 83118 """Provence-Alpes-Côte dAzur""" 83 Var 43.417822 6.84693 "Estérel Côte d'Azur" "Apidae Tourisme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4095004-ef44-3f71-a141-5e7ab5171f42 True Produit Pratique
Lasergame 2756 05260 05149 """Provence-Alpes-Côte dAzur""" 05 Hautes-Alpes 44.643084 6.200514 "Office de Tourisme du Champsaur & Valgaudemar" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4253725-d421-3a25-b8af-29d898a118a6 True Produit Pratique
"Equitation avec Equi'dena" 3114 07800 07221 Auvergne-Rhône-Alpes 07 Ardèche 44.788793 4.687596 "Centre Ardèche Tourisme - Privas" "Agence de Développement Touristique de l'Ardèche - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4a8ae75-3681-3965-972b-bd3a0e00de34 True Produit Pratique
"Rallye pédestre surprise avec PAN / Nicolas Grisolle" 5755 07170 07077 Auvergne-Rhône-Alpes 07 Ardèche 44.647284 4.50448 "Office de Tourisme Berg et Coiron" "Agence de Développement Touristique de l'Ardèche - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4b2a03b-3383-3240-befc-d795e0cde381 True Produit Pratique
"Sortie raquette - Le goûter de la Charmette" 2093 73450 73306 Auvergne-Rhône-Alpes 73 Savoie 45.165754 6.429527 "Office de Tourisme de Valloire" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4db0314-ee2f-3ecf-b7c7-f3636bdbea1a True Produit Pratique
"Croisière à Saint-Tropez avec les Bateliers de la Côte d'Azur" 1602 83250 83071 """Provence-Alpes-Côte dAzur""" 83 Var 43.116554 6.247745 "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu" "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4e6dd43-95ed-3061-8808-02f241935a07 True Produit Pratique
"Equitation Les Crinières de Roche Colombe - Ferme équestre" 3094 26400 26344 Auvergne-Rhône-Alpes 26 Drôme 44.643063 5.016809 "Office de Tourisme du Val de Drôme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d4fa4c4f-0268-38ba-a1ae-3bcc8330e5ef True Produit Pratique
"Stage ""Initiation enfant à la poterie"" - Bora Pottery" 2337 83190 83090 """Provence-Alpes-Côte dAzur""" 83 Var 43.140199 5.84809 "Office de Tourisme Provence Méditerranée" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d514dbcf-ec1a-35fb-ad94-08c9b5462b5c True Produit Pratique
"Cours de ski Alpin" 1761 74360 74001 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.280043 6.719978 "Office de Tourisme intercommunal Pays d'Evian Vallée d'Abondance" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d518ca65-f739-3c7b-850c-efb01596080f True Produit Pratique
"Sortie Nature : Les oiseaux des Gorges du Cher" 4307 03410 03145 Auvergne-Rhône-Alpes 03 Allier 46.506972 2.629814 "OTI Vallée du Coeur de France" "Allier Tourisme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d54acd64-e7f2-3fe4-bad9-0ee1c4c2882a True Produit Visite
"Riom, site patrimonial remarquable" 1725 63200 63300 Auvergne-Rhône-Alpes 63 Puy-de-Dôme 45.894125 3.113632 "Office de Tourisme Terra Volcana, les Pays de Volvic" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5637cc3-f976-3725-ae36-93c67c1884e7 True Produit Visite
"Qi Gong" 1723 26790 26345 Auvergne-Rhône-Alpes 26 Drôme 44.287609 4.840207 "Office de Tourisme Drôme Sud Provence" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d56813a8-13df-3d5f-ae1f-1b6c377d8fb6 True Produit Pratique
"Easy buggy - Balades encadrées en buggy en Drôme des Collines" 6805 26260 26061 Auvergne-Rhône-Alpes 26 Drôme 45.135261 4.947985 "Ardèche Hermitage Tourisme" "Agence de Développement Touristique de l'Ardèche - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d588e210-151a-313d-ae22-59fc7ceb101c True Produit Pratique
"Dans la rivière du Guiers Mort" 1826 38660 38395 Auvergne-Rhône-Alpes 38 Isère 45.310305 5.887646 "Office de Tourisme de Belledonne Chartreuse" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5a4fd00-c9ea-3bc5-9603-b7fc056a2610 True Produit Pratique
"Initiation à la conduite d'attelage" 2191 73300 73013 Auvergne-Rhône-Alpes 73 Savoie 45.219539 6.338099 "Montagnicimes Office de tourisme Intercommunal" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5bdc3af-972d-39bb-9234-651c76f99c54 True Produit Pratique
"Croisière découverte à bord de La Reine Margot" 1942 16000 16015 Nouvelle-Aquitaine 16 Charente 45.655945 0.159369 "Office de Tourisme du Pays d'Angoulême" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5d3ae93-7002-33a2-b631-e7500e76d04c True Produit Visite
"Stage création écharpe en laine feutrée" 1597 26400 26336 Auvergne-Rhône-Alpes 26 Drôme 44.646324 5.061713 "Office de Tourisme du Val de Drôme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5db920b-1d8d-3628-9489-72270529e124 True Produit Pratique
"Sortie raquette - Boucle de Chantelouve" 1668 73480 73290 Auvergne-Rhône-Alpes 73 Savoie 45.291781 6.919734 "Haute Maurienne Vanoise Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5e4cd70-3631-3ed8-a828-5c28f9b7908c True Produit Pratique
"Croisière diner ""Feu d'artifice"" menu Prestige à bord de la Reine Margot" 1942 16000 16015 Nouvelle-Aquitaine 16 Charente 45.655945 0.159369 "Office de Tourisme du Pays d'Angoulême" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d5fc7033-9200-3600-88bd-66ce6b77733f True Produit Visite
"HIP HOP" 1723 26790 26345 Auvergne-Rhône-Alpes 26 Drôme 44.286729 4.832059 "Office de Tourisme Drôme Sud Provence" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d60ca069-3155-3a87-9c4a-e818adce3e9e True Produit Pratique
"Le rêve d'Horace" 2477 74160 74216 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.076684 6.097627 "Office de Tourisme des Monts de Genève" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d619b860-6cc0-3dc8-872d-8ae85e140da6 True Produit Pratique
"Visite ""Au cœur des courses hippiques""" 2685 42330 42222 Auvergne-Rhône-Alpes 42 Loire 45.59833 4.294757 "Saint-Etienne Tourisme et Congrès" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d62b5554-c183-34b8-ba5d-5de60c69fb6d True Produit Visite
"Canoë-kayak sur la rivière d'Ain" 3820 01160 01304 Auvergne-Rhône-Alpes 01 Ain 46.046839 5.333437 "Office de Tourisme Rives de l'Ain - Pays du Cerdon" "Office de Tourisme du Haut-Bugey - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d63d0e10-0895-3eda-9821-97ae09388e23 True Produit Pratique
"Visite commentée : ""une balade d'art urbain""" 2015 74170 74236 Auvergne-Rhône-Alpes 74 Haute-Savoie 45.892293 6.711574 "Office de Tourisme de Saint-Gervais Mont-Blanc" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d66a78be-79b1-32fd-b8cd-ae3d461036c0 True Produit Visite
"Descente vers les vieux villages" 2391 73260 73024 Auvergne-Rhône-Alpes 73 Savoie 45.461606 6.443535 "Office de Tourisme de Valmorel et des Vallées d'Aigueblanche" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d67ffdcb-e823-367b-9570-a6c81eb342d9 True Produit Pratique
"Activités du Bureau Montagne Auvergne Sancy Volcans" 2856 63790 63247 Auvergne-Rhône-Alpes 63 Puy-de-Dôme 45.572831 2.941678 "Office de Tourisme du Massif du Sancy" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d69df94a-f68e-3e37-9624-ef26457c1686 True Produit Pratique
"Rokapic Canyoning et Rando Aquatique" 1597 26400 26336 Auvergne-Rhône-Alpes 26 Drôme 44.645645 5.06245 "Office de Tourisme du Val de Drôme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d6a52c0e-9479-3c6c-833c-78da46a1c4e3 True Produit Pratique
"Visite Guidée - Le Chemin de Croix et le Calvaire des Récollets" 1726 26100 26281 Auvergne-Rhône-Alpes 26 Drôme 45.042507 5.048849 "Valence Romans Tourisme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d6b0fd27-e324-3560-a1b4-addccc3b8f0a True Produit Visite
"Coup d'oeil sur la frontière" 1685 74390 74063 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.26797 6.840566 "Châtel Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d6dab996-1411-3671-b2e1-6a0d0d429a8c True Produit Visite
"Acro Pôle Aventure  - Escalade et via ferrata" 2075 26220 26101 Auvergne-Rhône-Alpes 26 Drôme 44.551335 5.086198 "Office de Tourisme Pays de Dieulefit-Bourdeaux" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d6fc2bce-db8e-3673-99f8-05c69ed73d84 True Produit Pratique
"Initiation VTT électrique sur neige" 1685 74390 74063 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.250582 6.810666 "Châtel Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7045a61-b8be-3b3f-ab7d-0fa9f1a2868c True Produit Pratique
"Raquettes - Bureau des guides de Montchavin-Les Coches" 1599 73210 73150 Auvergne-Rhône-Alpes 73 Savoie 45.559432 6.736849 "Office de Tourisme de la Grande Plagne" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d70548d8-2829-30d6-994a-3d1108888bce True Produit Pratique
"Baptême de l'air au départ de l'aérodrôme de Saint rambert d'Albon" 2788 26140 26002 Auvergne-Rhône-Alpes 26 Drôme 45.253326 4.824419 "Office de Tourisme Porte de DrômArdèche" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d716d4d6-67fb-3f3b-86f7-d6fb6f889f1a True Produit Pratique
"Vol Biplace en Parapente ""Prévol""" 1826 38660 38395 Auvergne-Rhône-Alpes 38 Isère 45.318357 5.887985 "Office de Tourisme de Belledonne Chartreuse" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d71732c4-df8c-384b-bdcb-822da1a1fad6 True Produit Pratique
"Privatisez votre visite de village en sud Ardèche" 2499 07700 07042 Auvergne-Rhône-Alpes 07 Ardèche 44.37213 4.643343 "Office de Tourisme DRAGA (du Rhône aux Gorges de l'Ardèche)" "Agence de Développement Touristique de l'Ardèche - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7346678-86ec-3110-890c-4c0e3ad11e51 True Produit Pratique
"Rando en quad" 1965 43400 43051 Auvergne-Rhône-Alpes 43 Haute-Loire 45.036638 4.341058 "Office de Tourisme du Haut-Lignon" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d743b5ed-adc7-3969-be49-5113720cb45c True Produit Pratique
"Atelier poterie enfant" 2475 26270 26097 Auvergne-Rhône-Alpes 26 Drôme 44.7153 4.836688 "Office de Tourisme du Val de Drôme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d748787e-5bb1-3425-82d6-5a20aeace2c7 True Produit Pratique
"Initiation au husky-kart avec Esprit du Nord" 2625 26420 26364 Auvergne-Rhône-Alpes 26 Drôme 44.874532 5.400015 "Office de Tourisme Vercors Drôme" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7672201-e77d-3528-807b-1bb5a0c037a5 True Produit Pratique
"Histoire des noms de rues d'Albi" 1807 81000 81004 Occitanie 81 Tarn 43.928339 2.144074 "Office de Tourisme d'Albi" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d771969c-08d8-309f-811c-30f93520e58e True Produit Visite
"Les Ecuries Vaillant" 5712 07370 07084 Auvergne-Rhône-Alpes 07 Ardèche 45.161282 4.732103 "Office de Tourisme Porte de DrômArdèche" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d78a8727-3260-35a7-90e1-16f79dfb2625 True Produit Pratique
"Visite commentée du musée de la mine de Cap Garonne -" 2674 83220 83098 """Provence-Alpes-Côte dAzur""" 83 Var 43.081725 6.034155 "Office de Tourisme Provence Méditerranée" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d78febec-ea50-333b-b2d9-804bf7a803fc True Produit Visite
"Les P'tits Poussins esf" 1583 05170 05096 """Provence-Alpes-Côte dAzur""" 05 Hautes-Alpes 44.697404 6.329229 "Office de Tourisme d'Orcières" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d79b1d42-8b83-3132-831b-8fdee06df464 True Produit Pratique
"Salagon secret" 4427 04300 04111 """Provence-Alpes-Côte dAzur""" 04 Alpes-de-Haute-Provence 43.934334 5.76075 "Département des Alpes-de-Haute-Provence" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7abb21e-abd2-31eb-9790-4d8f2e33e9b3 True Produit Visite
"Acro'Aventures Reignier" 4147 74930 74220 Auvergne-Rhône-Alpes 74 Haute-Savoie 46.124 6.2862 "Office de Tourisme des Monts de Genève" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7aedc45-7a51-3250-9bc3-c257d5c2bc9d True Produit Pratique
"Visite guidée : Dans les rues des Houches" 2446 74310 74143 Auvergne-Rhône-Alpes 74 Haute-Savoie 45.890917 6.79876 "Office de Tourisme de la Vallée de Chamonix-Mont-Blanc" "Office de Tourisme de la Vallée de Chamonix-Mont-Blanc - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7bc3f19-ee3d-31e0-9c04-3feaaac573af True Produit Visite
"Initiation en gyropode avec Gyrolonde" 1602 83250 83071 """Provence-Alpes-Côte dAzur""" 83 Var 43.128511 6.24379 "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu" "Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d7f4eb83-f955-3e3f-aa1b-f07fc15efbe7 True Produit Pratique
"Atelier Musical" 1598 26220 26114 Auvergne-Rhône-Alpes 26 Drôme 44.524892 5.064294 "Office de Tourisme Pays de Dieulefit-Bourdeaux" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d8015830-5ae5-34ab-89b6-47a08c623800 True Produit Pratique
"Stage VIOLONCELLE dès la 3e année d'apprentissage" 1598 26220 26114 Auvergne-Rhône-Alpes 26 Drôme 44.524829 5.061436 "Office de Tourisme Pays de Dieulefit-Bourdeaux" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d80f095d-cecc-33b0-9bbe-0ebe3cfc9860 True Produit Pratique
"Atelier P'tit bouts de verre" 1910 43190 43244 Auvergne-Rhône-Alpes 43 Haute-Loire 45.116083 4.287427 "Office de Tourisme du Haut-Lignon" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d8123842-c32d-3758-a840-1405a18369df True Produit Pratique
"Demi-journée raquettes en forêt d'Arc" 1668 73480 73290 Auvergne-Rhône-Alpes 73 Savoie 45.29 6.9121 "Haute Maurienne Vanoise Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d81cdae2-9731-3606-89d2-eeb2589871be True Produit Pratique
"Activité Séminaire : Escape Game" 1669 43000 43157 Auvergne-Rhône-Alpes 43 Haute-Loire 45.043495 3.884123 "Office de Tourisme de l'agglomération du Puy-en-Velay" "Maison du Tourisme de la Haute-Loire - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d830851f-9608-384e-a505-1f36c5408c52 True Produit Pratique
"Via ferrata avec Cîmes et Canyons" 1787 07200 07122 Auvergne-Rhône-Alpes 07 Ardèche 44.61455 4.3732 "Office de Tourisme du Pays d'Aubenas-Vals-Antraigues" "Agence de Développement Touristique de l'Ardèche - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d89611d6-e8ec-3a24-a812-df5a69d65293 True Produit Pratique
"Stage de tennis de Pâques" 1598 26220 26114 Auvergne-Rhône-Alpes 26 Drôme 44.521409 5.059258 "Office de Tourisme Pays de Dieulefit-Bourdeaux" "Agence de Développement Touristique de la Drôme - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d8d9b52b-1d37-38f8-ac3f-e40757b2264d True Produit Pratique
"Journées Européennes du Patrimoine" 2686 69000 69123 Auvergne-Rhône-Alpes 69 Rhône 45.763241 4.83385 "Lyon Tourisme et Congrès / ONLYLYON Tourisme" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d8e3ab82-e8fa-338c-b363-82dae696b49c True Produit "Visite, Evènement Culturel"
"Balade en Traîneaux à Chiens" 2191 73300 73013 Auvergne-Rhône-Alpes 73 Savoie 45.219252 6.337696 "Montagnicimes Office de tourisme Intercommunal" "Apidae Tourisme Scic SA - source : Apidae Tourisme" https://data.datatourisme.gouv.fr/13/d9230d2b-cacd-3bfe-964d-950c88ceefa4 True Produit Pratique
